FileA,FileB,SimilarityScore
"Capital_Income_part1.pdf","Capital_Income_part2.pdf",0,9641
"Capital_Income_part1.pdf","craftsmanmotherwords.txt",0,1665
"Capital_Income_part1.pdf","Craftsmen_part2.pdf",0,6746
"Capital_Income_part1.pdf","Craftsmen_part_1.pdf",0,6700
"Capital_Income_part1.pdf","healthcaremotherwords.txt",0,2478
"Capital_Income_part1.pdf","Invoices_Upwork_001.pdf",0,6818
"Capital_Income_part1.pdf","Invoices_Upwork_002.pdf",0,7475
"Capital_Income_part1.pdf","Invoices_Upwork_003.pdf",0,6670
"Capital_Income_part1.pdf","Invoices_Upwork_004.pdf",0,9553
"Capital_Income_part1.pdf","Mahesh.pdf",0,6966
"Capital_Income_part1.pdf","Mahesh_(2).pdf",0,6677
"Capital_Income_part1.pdf","Mustermann_1.pdf",0,4883
"Capital_Income_part1.pdf","Mustermann_3.pdf",0,4324
"Capital_Income_part1.pdf","Mustermann_4.pdf",0,4416
"Capital_Income_part2.pdf","craftsmanmotherwords.txt",0,1699
"Capital_Income_part2.pdf","Craftsmen_part2.pdf",0,6905
"Capital_Income_part2.pdf","Craftsmen_part_1.pdf",0,6911
"Capital_Income_part2.pdf","healthcaremotherwords.txt",0,2495
"Capital_Income_part2.pdf","Invoices_Upwork_001.pdf",0,7003
"Capital_Income_part2.pdf","Invoices_Upwork_002.pdf",0,7436
"Capital_Income_part2.pdf","Invoices_Upwork_003.pdf",0,6876
"Capital_Income_part2.pdf","Invoices_Upwork_004.pdf",0,9849
"Capital_Income_part2.pdf","Mahesh.pdf",0,7080
"Capital_Income_part2.pdf","Mahesh_(2).pdf",0,6851
"Capital_Income_part2.pdf","Mustermann_1.pdf",0,4616
"Capital_Income_part2.pdf","Mustermann_3.pdf",0,4248
"Capital_Income_part2.pdf","Mustermann_4.pdf",0,4181
"craftsmanmotherwords.txt","Craftsmen_part2.pdf",0,3892
"craftsmanmotherwords.txt","Craftsmen_part_1.pdf",0,3835
"craftsmanmotherwords.txt","healthcaremotherwords.txt",0,4989
"craftsmanmotherwords.txt","Invoices_Upwork_001.pdf",0,2438
"craftsmanmotherwords.txt","Invoices_Upwork_002.pdf",0,2920
"craftsmanmotherwords.txt","Invoices_Upwork_003.pdf",0,3782
"craftsmanmotherwords.txt","Invoices_Upwork_004.pdf",0,1707
"craftsmanmotherwords.txt","Mahesh.pdf",0,3018
"craftsmanmotherwords.txt","Mahesh_(2).pdf",0,3148
"craftsmanmotherwords.txt","Mustermann_1.pdf",0,1974
"craftsmanmotherwords.txt","Mustermann_3.pdf",0,1936
"craftsmanmotherwords.txt","Mustermann_4.pdf",0,1678
"Craftsmen_part2.pdf","Craftsmen_part_1.pdf",0,9057
"Craftsmen_part2.pdf","healthcaremotherwords.txt",0,3103
"Craftsmen_part2.pdf","Invoices_Upwork_001.pdf",0,7364
"Craftsmen_part2.pdf","Invoices_Upwork_002.pdf",0,7865
"Craftsmen_part2.pdf","Invoices_Upwork_003.pdf",0,8939
"Craftsmen_part2.pdf","Invoices_Upwork_004.pdf",0,6901
"Craftsmen_part2.pdf","Mahesh.pdf",0,8611
"Craftsmen_part2.pdf","Mahesh_(2).pdf",0,8609
"Craftsmen_part2.pdf","Mustermann_1.pdf",0,4960
"Craftsmen_part2.pdf","Mustermann_3.pdf",0,4539
"Craftsmen_part2.pdf","Mustermann_4.pdf",0,4802
"Craftsmen_part_1.pdf","healthcaremotherwords.txt",0,2950
"Craftsmen_part_1.pdf","Invoices_Upwork_001.pdf",0,7433
"Craftsmen_part_1.pdf","Invoices_Upwork_002.pdf",0,7554
"Craftsmen_part_1.pdf","Invoices_Upwork_003.pdf",0,8891
"Craftsmen_part_1.pdf","Invoices_Upwork_004.pdf",0,6798
"Craftsmen_part_1.pdf","Mahesh.pdf",0,8231
"Craftsmen_part_1.pdf","Mahesh_(2).pdf",0,8042
"Craftsmen_part_1.pdf","Mustermann_1.pdf",0,4472
"Craftsmen_part_1.pdf","Mustermann_3.pdf",0,4025
"Craftsmen_part_1.pdf","Mustermann_4.pdf",0,4412
"healthcaremotherwords.txt","Invoices_Upwork_001.pdf",0,3511
"healthcaremotherwords.txt","Invoices_Upwork_002.pdf",0,3964
"healthcaremotherwords.txt","Invoices_Upwork_003.pdf",0,3461
"healthcaremotherwords.txt","Invoices_Upwork_004.pdf",0,2455
"healthcaremotherwords.txt","Mahesh.pdf",0,4134
"healthcaremotherwords.txt","Mahesh_(2).pdf",0,4531
"healthcaremotherwords.txt","Mustermann_1.pdf",0,2462
"healthcaremotherwords.txt","Mustermann_3.pdf",0,3267
"healthcaremotherwords.txt","Mustermann_4.pdf",0,2407
"Invoices_Upwork_001.pdf","Invoices_Upwork_002.pdf",0,7607
"Invoices_Upwork_001.pdf","Invoices_Upwork_003.pdf",0,7559
"Invoices_Upwork_001.pdf","Invoices_Upwork_004.pdf",0,6842
"Invoices_Upwork_001.pdf","Mahesh.pdf",0,7794
"Invoices_Upwork_001.pdf","Mahesh_(2).pdf",0,7588
"Invoices_Upwork_001.pdf","Mustermann_1.pdf",0,4388
"Invoices_Upwork_001.pdf","Mustermann_3.pdf",0,4516
"Invoices_Upwork_001.pdf","Mustermann_4.pdf",0,4143
"Invoices_Upwork_002.pdf","Invoices_Upwork_003.pdf",0,7644
"Invoices_Upwork_002.pdf","Invoices_Upwork_004.pdf",0,7245
"Invoices_Upwork_002.pdf","Mahesh.pdf",0,7983
"Invoices_Upwork_002.pdf","Mahesh_(2).pdf",0,7721
"Invoices_Upwork_002.pdf","Mustermann_1.pdf",0,5382
"Invoices_Upwork_002.pdf","Mustermann_3.pdf",0,5139
"Invoices_Upwork_002.pdf","Mustermann_4.pdf",0,4993
"Invoices_Upwork_003.pdf","Invoices_Upwork_004.pdf",0,6814
"Invoices_Upwork_003.pdf","Mahesh.pdf",0,8330
"Invoices_Upwork_003.pdf","Mahesh_(2).pdf",0,8235
"Invoices_Upwork_003.pdf","Mustermann_1.pdf",0,4666
"Invoices_Upwork_003.pdf","Mustermann_3.pdf",0,4246
"Invoices_Upwork_003.pdf","Mustermann_4.pdf",0,4526
"Invoices_Upwork_004.pdf","Mahesh.pdf",0,7081
"Invoices_Upwork_004.pdf","Mahesh_(2).pdf",0,6842
"Invoices_Upwork_004.pdf","Mustermann_1.pdf",0,4466
"Invoices_Upwork_004.pdf","Mustermann_3.pdf",0,4063
"Invoices_Upwork_004.pdf","Mustermann_4.pdf",0,4167
"Mahesh.pdf","Mahesh_(2).pdf",0,9320
"Mahesh.pdf","Mustermann_1.pdf",0,4977
"Mahesh.pdf","Mustermann_3.pdf",0,4870
"Mahesh.pdf","Mustermann_4.pdf",0,4924
"Mahesh_(2).pdf","Mustermann_1.pdf",0,4370
"Mahesh_(2).pdf","Mustermann_3.pdf",0,4608
"Mahesh_(2).pdf","Mustermann_4.pdf",0,4283
"Mustermann_1.pdf","Mustermann_3.pdf",0,7659
"Mustermann_1.pdf","Mustermann_4.pdf",0,8401
"Mustermann_3.pdf","Mustermann_4.pdf",0,7381
